,url,timestamp_start,timestamp_finish,n_segment,t_download_s,body_size_byte,bandwidth_mbit,byte_start,byte_end,seg_len_s,t_start,t_end,quality_level_chosen,bitrate_level,vmaf_level,previous_bitrate,previous_vmaf,previous_quality,quality_shift_byte_-2,quality_shift_vmaf_-2,quality_shift_bitrate_-2,quality_shift_byte_-1,quality_shift_vmaf_-1,quality_shift_bitrate_-1,quality_shift_byte_0,quality_shift_vmaf_0,quality_shift_bitrate_0,quality_shift_byte_1,quality_shift_vmaf_1,quality_shift_bitrate_1,quality_shift_byte_2,quality_shift_vmaf_2,quality_shift_bitrate_2,t_download_s_-1,quality_level_chosen_-1,bandwidth_mbit_-1,t_download_s_-2,quality_level_chosen_-2,bandwidth_mbit_-2,t_download_s_-3,quality_level_chosen_-3,bandwidth_mbit_-3,t_download_s_-4,quality_level_chosen_-4,bandwidth_mbit_-4,t_download_s_-5,quality_level_chosen_-5,bandwidth_mbit_-5,t_download_s_-6,quality_level_chosen_-6,bandwidth_mbit_-6,t_download_s_-7,quality_level_chosen_-7,bandwidth_mbit_-7,t_download_s_-8,quality_level_chosen_-8,bandwidth_mbit_-8,t_download_s_-9,quality_level_chosen_-9,bandwidth_mbit_-9,t_download_s_-10,quality_level_chosen_-10,bandwidth_mbit_-10,quality_shift,buffer_estimate_0,rebuffer_estimate_0,bitrate_level_encoded
22,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-19.m4s,1572068973.6339998,1572068975.645,18,2.002,794629,3.175340659340659,0,0,6.406406406406404,134.57,140.98,1,737000.0,28.605087594339622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
23,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-20.m4s,1572068980.1339998,1572068981.812,19,1.666,657866,3.1590204081632653,0,0,7.073740407073758,140.97,148.04,1,737000.0,18.043964764150946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
24,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-21.m4s,1572068987.1339998,1572068989.606,20,2.463,983119,3.1932407632967923,0,0,7.974641307974622,148.05,156.02,1,737000.0,6.705236415094338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
25,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-22.m4s,1572068995.1339998,1572068998.0229998,21,2.877,1138094,3.1646687521724015,0,0,8.441775108441789,156.02,164.46,1,737000.0,5.914906919431275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
26,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-23.m4s,1572069003.939,1572069006.5010002,22,2.522,1021376,3.2398921490880253,0,0,8.60860860860859,164.46,173.07,1,737000.0,4.739459999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
27,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-24.m4s,1572069012.1339998,1572069013.981,23,1.839,744906,3.2404828711256117,0,0,6.6733400066733575,173.07,179.74,1,737000.0,6.229673867924527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
28,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-25.m4s,1572069018.8839998,1572069020.1479998,24,1.2590000000000001,497879,3.1636473391580613,0,0,6.106106106106098,179.75,185.86,1,737000.0,7.0446857547169826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
29,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-26.m4s,1572069024.8839998,1572069026.709,25,1.818,715154,3.1469922992299217,0,0,6.439773106439787,185.85,192.29,1,737000.0,4.825338625592417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
30,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-27.m4s,1572069031.3839998,1572069033.089,26,1.704,669740,3.144319248826291,0,0,6.172839506172835,192.29,198.46,1,737000.0,1.1694513679245284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
31,https://skyfire.vimeocdn.com/1572072762-0x52f148451f997577ca503c39aef6f093482df10d/62092214/sep/video/156174630/chop/segment-28.m4s,1572069037.635,1572069039.475,27,1.833,733823,3.2027190398254235,0,0,7.1404738071404665,198.47,205.61,1,737000.0,5.579269433962264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737000.0
